"gwa.id" "Genet" "SerialNo" "Unique.ID" "Block" "Row" "Position" "Latitude" "Longitude" "Min.per.Tree" "Harmandia" "Phyllocolpa" "Petiole.Gall" "Leaf.Edge.Mine" "Blotch.Mine" "Lombardy.Mine" "Weevil.Mine" "Blackmine" "Cottonwood.Leaf.Mine" "Casebearer.Moth" "Leafhoppers" "Green.Aphids" "Smokey.Aphids" "Ants" "Pale.Green.Notodontid" "Aspen.Leaf.Beetle" "Green.Sawfly" "Cotton.Scale" "Survey.Year" "survey.event" "Date" "Sex.Genet" "PlantingDate" "Volume" "ALA.all" "SLA.all" "BBreakDegDay.all" "EFNMean.all" "CTsum" "PGsum" "Npct.all" "Cpct.all" "thunderstorm.event" "avg.temp_F" "rain.event" "fog.event"
"UME_303602_P10_WB09" "168" "1303" "1303_jun16" "4" "E" "15" 45.59168246 -89.56414379 5 0 2 0 0 0 0 0 0 0 0 1 18 0 0 0 0 0 0 "2016" "jun16" 2016-06-13 "M" "9/9/2010" 18.3 12.27 150.59 219.8 0.17 8.48 4.69 NA NA "1" 69 "0" "0"
"UME_303602_P11_WC01" "290" "1246" "1246_jun16" "4" "C" "14" 45.85490003 -89.56414379 10 0 11 0 0 0 5 0 0 1 0 0 0 0 3 0 0 1 0 "2016" "jun16" 2016-06-13 "F" "9/9/2010" 29.9 14.38 152.54 182.9 0.08 6.12 7.27 NA NA "1" 69 "0" "0"
"UME_303602_P12_WA07" "395" "1304" "1304_jun16" "4" "E" "16" 45.65100662 -89.56414379 10 4 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 "2016" "jun16" 2016-06-13 "F" "6/2/2011" 33.3 11.63 151.53 229.5 0.08 10.49 4.11 NA NA "1" 69 "0" "0"
"UME_303602_P09_WE03" "79" "1331" "1331_jun16" "4" "F" "15" 44.66697683 -89.56484119 7 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 "2016" "jun16" 2016-06-13 "F" "7/1/2011" 25.9 12.54 137.14 241.8 0.33 15.49 3.15 NA NA "1" 69 "0" "0"
"UME_303602_P13_WE02" "612" "1265" "1265_jun16" "4" "D" "5" 42.85647012 -89.56890112 3 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "2016" "jun16" 2016-06-13 NA "6/13/2012" 5.6 12.55 130.51 212.8 1.25 8.1 9.2 NA NA "1" 69 "0" "0"
"UME_303602_P13_WG10" "713" "1296" "1296_jun16" "4" "E" "8" 45.51763913 -89.56414379 4 6 0 0 0 0 0 4 0 1 0 0 0 0 0 0 0 0 0 "2016" "jun16" 2016-06-13 NA "6/13/2012" 15.9 13.06 140.08 197.4 1.25 16.45 2.71 NA NA "1" 69 "0" "0"
"UME_303602_P09_WA07" "7" "1384" "1384_jun16" "4" "H" "12" 43.55093091 -89.56943894 7 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "2016" "jun16" 2016-06-13 NA "9/9/2010" 13.5 13.56 133.51 285.7 0.67 12.4 3.53 NA NA "1" 69 "0" "0"
"UME_301101_P01_WE01" "Wau-1" "1214" "1214_jun16" "4" "B" "10" 44.14408497 -89.56943894 5 0 3 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 "2016" "jun16" 2016-06-13 "M" "7/1/2011" 32.3 12.07 149.57 258 0.75 5.27 3.4 NA NA "1" 69 "0" "0"
"UME_303602_P11_WG10" "368" "1217" "1217_jun16" "4" "B" "13" 45.82773283 -89.56414379 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "2016" "jun16" 2016-06-13 NA "9/9/2010" 14.2 10.84 139.37 246.8 0.5 7.39 7.35 NA NA "1" 69 "0" "0"
"UME_303602_P10_WA04" "149" "1302" "1302_jun16" "4" "E" "14" 44.8665619 -89.56484119 3 3 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 "2016" "jun16" 2016-06-13 "M" "9/9/2010" 16.8 10.97 136.4 229.5 0.58 8.13 13.35 NA NA "1" 69 "0" "0"
"UME_303602_P11_WA02" "259" "1351" "1351_jun16" "4" "G" "7" 45.85989345 -89.56414379 8 2 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 "2016" "jun16" 2016-06-13 NA "9/9/2010" 25.4 13.77 127.83 187.9 0.75 13.6 2.92 NA NA "1" 69 "0" "0"
"UME_303602_P10_WD07" "192" "1324" "1324_jun16" "4" "F" "8" 45.58864988 -89.56414379 6 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 "2016" "jun16" 2016-06-13 "F" "9/9/2010" 10.7 14 119.57 197.4 0.08 15.14 3.76 NA NA "1" 69 "0" "0"
"UME_301101_P01_WD02" "706" "1306" "1306_jun16" "4" "E" "18" 45.52473768 -89.56414379 4 0 3 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 "2016" "jun16" 2016-06-13 "M" "6/13/2012" 17.9 15.8 141.1 272.6 0.17 13.52 8.18 NA NA "1" 69 "0" "0"
"UME_303602_P14_WG04" "211" "1222" "1222_jun16" "4" "B" "18" 45.86104042 -89.56414379 3 3 0 0 0 0 1 0 0 0 0 0 0 0 5 0 0 0 0 "2016" "jun16" 2016-06-13 NA "9/9/2010" 4.3 9.82 119.43 229.5 0.33 8.4 5.08 NA NA "1" 69 "0" "0"
"UME_303602_P10_WD03" "188" "1264" "1264_jun16" "4" "D" "4" 45.5881523 -89.56414379 3 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 "2016" "jun16" 2016-06-13 NA "9/9/2010" 6.3 10.09 118.04 207.5 0.25 8.28 9.71 NA NA "1" 69 "0" "0"
"UME_303602_P09_WE03" "79" "1274" "1274_jun16" "4" "D" "14" 44.66697683 -89.56484119 5 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "2016" "jun16" 2016-06-13 "F" "9/9/2010" 16.9 19.2 135.36 246.8 0.42 10.65 8.99 NA NA "1" 69 "0" "0"
"UME_303602_P10_WA03" "148" "1240" "1240_jun16" "4" "C" "8" 44.8667749 -89.56484119 7 0 14 0 0 0 1 1 0 0 0 1 0 0 1 0 0 0 0 "2016" "jun16" 2016-06-13 NA "9/9/2010" 19.5 14.38 160.4 258 0.83 6.41 7.03 NA NA "1" 69 "0" "0"
"UME_303602_P10_WH03" "246" "1329" "1329_jun16" "4" "F" "13" 45.86128388 -89.56414379 10 0 3 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 "2016" "jun16" 2016-06-13 NA "9/9/2010" 50.8 17.82 157.77 171.2 0 6.75 8.82 NA NA "1" 69 "0" "0"
"UME_303602_P12_WA08" "396" "1322" "1322_jun16" "4" "F" "6" 45.65117577 -89.56414379 7 3 2 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 "2016" "jun16" 2016-06-13 "M" "6/2/2011" 18.9 10.73 143.2 207.5 0.17 15 1.15 NA NA "1" 69 "0" "0"
"UME_303602_P09_WE04" "80" "1390" "1390_jun16" "4" "H" "18" 44.66672159 -89.56484119 9 1 10 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 "2016" "jun16" 2016-06-13 "F" "9/9/2010" 41.3 14.16 161.87 253.3 0.67 7.57 13.55 NA NA "1" 69 "0" "0"
"UME_303602_P13_WD11" "605" "1242" "1242_jun16" "4" "C" "10" 43.28496298 -89.56890112 3 12 1 0 0 0 1 0 0 0 0 1 1 0 11 0 0 0 0 "2016" "jun16" 2016-06-13 NA "6/13/2012" 1.6 14.69 141.37 285.7 1.58 10.59 8.56 NA NA "1" 69 "0" "0"
"UME_303602_P10_WG02" "227" "1223" "1223_jun16" "4" "B" "19" 45.86260384 -89.56414379 3 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 "2016" "jun16" 2016-06-13 NA "9/9/2010" 14.2 10.81 131.67 212.8 0.5 11.15 2.52 NA NA "1" 69 "0" "0"
"UME_303602_P13_WH08" "727" "1294" "1294_jun16" "4" "E" "6" 45.53158875 -89.56414379 3 1 2 0 1 0 1 0 0 1 0 0 8 0 0 0 0 0 0 "2016" "jun16" 2016-06-13 "M" "6/13/2012" 11 17.41 141.95 207.5 1.67 13.56 7.29 NA NA "1" 69 "0" "0"
"UME_303602_P11_WD02" "311" "1385" "1385_jun16" "4" "H" "13" NA NA 8 0 2 0 0 0 0 0 0 0 0 1 0 0 4 0 0 0 0 "2016" "jun16" 2016-06-13 "M" "9/9/2010" 27.5 12.28 130.22 239.5 0.75 11.25 6.85 NA NA "1" 69 "0" "0"
"UME_303602_P13_WA06" "505" "1330" "1330_jun16" "4" "F" "14" 44.34712886 -89.56943894 6 4 4 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 "2016" "jun16" 2016-06-13 NA "7/1/2011" 15.7 14.44 145.35 250.5 0.17 13.25 7.52 NA NA "1" 69 "0" "0"
"UME_303602_P13_WF12" "652" "1361" "1361_jun16" "4" "G" "17" 43.01877766 -89.56890112 4 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "2016" "jun16" 2016-06-13 NA "6/13/2012" 4.9 11.58 139.57 285.7 0.17 15.53 3.68 NA NA "1" 69 "0" "0"
"UME_303602_P11_WE02" "327" "1221" "1221_jun16" "4" "B" "17" 45.77785284 -89.56414379 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "2016" "jun16" 2016-06-13 "M" "9/9/2010" 12.4 11.91 134.86 207.5 0 8.82 6.87 NA NA "1" 69 "0" "0"
"UME_303602_P11_WF07" "350" "1268" "1268_jun16" "4" "D" "8" 45.83803325 -89.56414379 6 0 18 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 "2016" "jun16" 2016-06-13 "F" "9/9/2010" 24.4 17.97 144.54 229.5 0.42 7.79 7.07 NA NA "1" 69 "0" "0"
"UME_301101_P01_WD01" "Sau-3" "1352" "1352_jun16" "4" "G" "8" 43.39704837 -89.56890112 10 10 3 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 "2016" "jun16" 2016-06-13 "M" "6/2/2011" 26.5 16.92 123.41 246.3 0.67 4.75 15.13 NA NA "1" 69 "0" "0"
"UME_303602_P13_WB04" "517" "1396" "1396_jun16" "4" "H" "24" 44.45873003 -89.56943894 4 1 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 "2016" "jun16" 2016-06-13 NA "7/1/2011" 9 14.95 133.23 272.6 0.25 11.34 5.95 NA NA "1" 69 "0" "0"
"UME_303602_P11_WE10" "336" "1393" "1393_jun16" "4" "H" "21" 45.80440078 -89.56414379 4 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 "2016" "jun16" 2016-06-13 NA "9/9/2010" 9.8 10.87 124.88 239.5 0.5 10 8.05 NA NA "1" 69 "0" "0"
"UME_303602_P09_WC07" "43" "1301" "1301_jun16" "4" "E" "13" 43.54026642 -89.56943894 4 4 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 "2016" "jun16" 2016-06-13 "M" "9/9/2010" 6.2 12.42 148.37 258 0.58 NA NA NA NA "1" 69 "0" "0"
"UME_303602_P11_WD08" "319" "1244" "1244_jun16" "4" "C" "12" 45.77578022 -89.56414379 8 2 8 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 "2016" "jun16" 2016-06-13 NA "9/9/2010" 23 19.2 139.51 246.3 0.75 10.24 5.64 NA NA "1" 69 "0" "0"
"UME_303602_P14_WA01" "736" "1354" "1354_jun16" "4" "G" "10" 45.56341611 -89.56414379 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "2016" "jun16" 2016-06-13 NA "8/10/2012" 5.6 14.61 123.03 207.5 0 13.61 4.14 NA NA "1" 69 "0" "0"
"UME_303602_P10_WD11" "196" "1224" "1224_jun16" "4" "B" "20" 45.59243993 -89.56414379 3 0 4 0 0 0 0 0 0 0 0 3 0 0 1 0 0 0 0 "2016" "jun16" 2016-06-13 NA "9/9/2010" 6.9 10.22 157.21 285.7 0.75 8.9 2.99 NA NA "1" 69 "0" "0"
"UME_303602_P10_WA04" "149" "1389" "1389_jun16" "4" "H" "17" 44.8665619 -89.56484119 3 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 "2016" "jun16" 2016-06-13 "M" "7/1/2012" 4.7 12.14 137.39 239.5 0.42 6.58 11.54 NA NA "1" 69 "0" "0"
"UME_303602_P13_WH09" "728" "1395" "1395_jun16" "4" "H" "23" 45.53182355 -89.56414379 3 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 "2016" "jun16" 2016-06-13 NA "6/13/2012" 2.1 10.43 124.24 264.7 0.58 17.46 2.95 NA NA "1" 69 "0" "0"
"UME_303602_P14_WB01" "752" "1328" "1328_jun16" "4" "F" "12" 45.83412462 -89.56414379 5 0 2 0 0 0 0 1 0 0 0 0 3 0 3 0 0 0 0 "2016" "jun16" 2016-06-13 NA "6/13/2012" 9.7 17.55 136.19 212.8 0.25 11.69 7.24 NA NA "1" 69 "0" "0"
"UME_303602_P09_WB06" "21" "1298" "1298_jun16" "4" "E" "10" 43.55224413 -89.56943894 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "2016" "jun16" 2016-06-13 "M" "9/9/2010" 13.7 11.74 144.16 187.9 0.75 8.06 16.34 NA NA "1" 69 "0" "0"
"UME_303602_P10_WA05" "150" "1219" "1219_jun16" "4" "B" "15" 44.8663905 -89.56484119 4 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "2016" "jun16" 2016-06-13 "F" "9/9/2010" 17.3 10.62 144.17 246.3 0.83 9.93 2.95 NA NA "1" 69 "0" "0"
"UME_303602_P09_WD02" "56" "1319" "1319_jun16" "4" "F" "3" 43.53378824 -89.56943894 5 2 3 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 "2016" "jun16" 2016-06-13 NA "9/9/2010" 36.9 11.93 129.63 239.5 0 13.34 11.61 NA NA "1" 69 "0" "0"
"UME_303602_P11_WA08" "267" "1374" "1374_jun16" "4" "H" "2" 46.00555489 -89.56414379 6 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 "2016" "jun16" 2016-06-13 NA "9/9/2010" 17.4 11.29 140.26 207.5 1.83 9.76 6.74 NA NA "1" 69 "0" "0"
"UME_303602_P10_WB07" "166" "1380" "1380_jun16" "4" "H" "8" 45.59262358 -89.56414379 7 0 2 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 "2016" "jun16" 2016-06-13 "F" "9/9/2010" 36.7 11.7 135.93 272.6 0.33 10.91 10.61 NA NA "1" 69 "0" "0"
"UME_303602_P14_WC04" "770" "1353" "1353_jun16" "4" "G" "9" 45.8479164 -89.56414379 6 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "2016" "jun16" 2016-06-13 NA "6/13/2012" 17.1 13.68 151.26 207.5 0.5 10 2.08 NA NA "1" 69 "0" "0"
"UME_303602_P09_WH09" "142" "1241" "1241_jun16" "4" "C" "9" 45.19157328 -89.56484119 3 0 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 "2016" "jun16" 2016-06-13 "M" "9/9/2010" 9.3 12.79 133.56 187.9 0.25 15.71 1.63 NA NA "1" 69 "0" "0"
"UME_303602_P11_WA11" "270" "1220" "1220_jun16" "4" "B" "16" 46.0078206 -89.56414379 5 0 10 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 "2016" "jun16" 2016-06-13 "F" "9/9/2010" 11.4 11.12 144.67 229.5 0.67 6.61 3.64 NA NA "1" 69 "0" "0"
"UME_303602_P11_WH12" "387" "1394" "1394_jun16" "4" "H" "22" 45.63934613 -89.56414379 5 4 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 "2016" "jun16" 2016-06-13 NA "9/9/2010" 6.9 12.27 135.8 301.3 0.92 11.42 11.41 NA NA "1" 69 "0" "0"
"UME_303602_P11_WE01" "326" "1320" "1320_jun16" "4" "F" "4" 45.77797087 -89.56414379 4 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "2016" "jun16" 2016-06-13 NA "9/9/2010" 30.8 13.44 142.28 239.5 0.75 11.65 1.75 NA NA "1" 69 "0" "0"
"UME_303602_P10_WH10" "253" "1333" "1333_jun16" "4" "F" "17" 45.86004573 -89.56414379 9 3 4 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 "2016" "jun16" 2016-06-13 "M" "9/9/2010" 33.8 12.25 137.18 187.9 0 13.28 2.81 NA NA "1" 69 "0" "0"
"UME_303602_P10_WD01" "186" "1267" "1267_jun16" "4" "D" "7" 45.59197162 -89.56414379 6 0 2 0 0 0 1 0 0 0 1 0 0 0 3 0 0 0 0 "2016" "jun16" 2016-06-13 "M" "9/9/2010" 37.8 18.12 125.49 246.8 0.25 16.78 7.38 NA NA "1" 69 "0" "0"
"UME_301101_P01_WA02" "644" "1382" "1382_jun16" "4" "H" "10" 42.87500078 -89.56890112 3 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 "2016" "jun16" 2016-06-13 NA "6/13/2012" 3.2 11.13 134.37 253.3 0.83 14.25 4.75 NA NA "1" 69 "0" "0"
"UME_303602_P12_WB11" "38" "1359" "1359_jun16" "4" "G" "15" 43.5396542 -89.56943894 5 0 18 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 "2016" "jun16" 2016-06-13 NA "6/2/2011" 18.3 10.41 134.18 309.3 0.08 4.04 10.04 NA NA "1" 69 "0" "0"
"UME_303602_P14_WB05" "756" "1347" "1347_jun16" "4" "G" "3" 45.84187862 -89.56414379 5 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "2016" "jun16" 2016-06-13 NA "6/13/2012" 2.3 11.89 143.4 258 0.75 15.61 3.32 NA NA "1" 69 "0" "0"
"UME_303602_P10_WC09" "182" "1362" "1362_jun16" "4" "G" "18" 45.83379813 -89.56414379 8 0 8 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 "2016" "jun16" 2016-06-13 "F" "9/9/2010" 54.8 10.25 147.86 197.4 0.33 9.04 5.98 NA NA "1" 69 "0" "0"
"UME_303602_P11_WH06" "379" "1271" "1271_jun16" "4" "D" "11" 45.82862004 -89.56414379 3 0 0 0 0 0 1 0 0 0 0 3 7 0 0 0 0 0 0 "2016" "jun16" 2016-06-13 NA "9/9/2010" 18.7 19.67 145.15 253.3 1.67 10.79 5.85 NA NA "1" 69 "0" "0"
"UME_303602_P11_WE12" "340" "1262" "1262_jun16" "4" "D" "2" 45.80765362 -89.56414379 6 0 12 0 0 0 2 0 0 0 0 0 0 0 3 0 0 0 0 "2016" "jun16" 2016-06-13 NA "9/9/2010" 31.6 10.09 134.43 182.9 1.5 10.1 9.03 NA NA "1" 69 "0" "0"
"UME_303602_P12_WA07" "395" "1350" "1350_jun16" "4" "G" "6" 45.65100662 -89.56414379 6 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 "2016" "jun16" 2016-06-13 "F" "6/2/2011" 19.1 11.2 139.9 229.5 0.17 11.01 2.97 NA NA "1" 69 "0" "0"
"UME_303602_P11_WG06" "364" "1205" "1205_jun16" "4" "B" "1" 45.83370288 -89.56414379 9 1 3 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 "2016" "jun16" 2016-06-13 "F" "9/9/2010" 31.3 12.29 144.2 207.5 0.33 5.64 6.34 NA NA "1" 69 "0" "0"
"UME_303602_P10_WB10" "169" "1215" "1215_jun16" "4" "B" "11" 45.59211061 -89.56414379 4 0 0 0 0 0 2 0 0 0 0 0 0 0 4 0 0 0 0 "2016" "jun16" 2016-06-13 "M" "7/1/2011" 14.1 11.57 154.53 207.5 0.5 9.87 7.1 NA NA "1" 69 "0" "0"
"UME_303602_P14_WF09" "64" "1239" "1239_jun16" "4" "C" "7" 43.53328187 -89.56943894 5 14 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "2016" "jun16" 2016-06-13 NA "7/1/2011" 12.2 13.41 147 285.7 0.08 7.79 8.35 NA NA "1" 69 "0" "0"
"UME_303602_P13_WA11" "511" "1349" "1349_jun16" "4" "G" "5" 44.34098804 -89.56943894 5 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 "2016" "jun16" 2016-06-13 "M" "7/1/2011" 5.6 13.32 135.09 229.5 0 14.44 5.14 NA NA "1" 69 "0" "0"
"UME_303602_P10_WD09" "194" "1233" "1233_jun16" "4" "C" "1" 45.59297533 -89.56414379 6 4 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 "2016" "jun16" 2016-06-13 NA "9/9/2010" 31.8 16.26 148.31 212.8 0.75 6.5 8.68 NA NA "1" 69 "0" "0"
"UME_303602_P11_WH01" "371" "1206" "1206_jun16" "4" "B" "2" 45.82774691 -89.56414379 8 0 10 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 "2016" "jun16" 2016-06-13 "F" "9/9/2010" 20.2 11.65 149.99 212.8 0.5 5.77 9.69 NA NA "1" 69 "0" "0"
"UME_303602_P10_WG07" "235" "1387" "1387_jun16" "4" "H" "15" 45.85739549 -89.56414379 5 0 6 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 "2016" "jun16" 2016-06-13 NA "9/9/2010" 29 21.35 142 171.2 0.42 11.71 9.64 NA NA "1" 69 "0" "0"
"UME_303602_P14_WA02" "738" "1383" "1383_jun16" "4" "H" "11" 45.56137502 -89.56414379 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "2016" "jun16" 2016-06-13 NA "7/1/2012" 8 13.73 123.11 239.5 0.83 10.49 6.66 NA NA "1" 69 "0" "0"
"UME_301101_P01_WA03" "Sau-2" "1398" "1398_jun16" "4" "H" "26" 43.39704837 -89.56890112 5 0 6 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 "2016" "jun16" 2016-06-13 "F" "6/2/2011" 11.1 12.18 132.06 246.8 0.67 8.97 7.26 NA NA "1" 69 "0" "0"
"UME_303602_P14_WB10" "764" "1237" "1237_jun16" "4" "C" "5" 45.79377808 -89.56414379 3 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 "2016" "jun16" 2016-06-13 "M" "6/13/2012" 6.8 13.62 144.12 207.5 0.17 6.9 2.02 NA NA "1" 69 "0" "0"
"UME_303602_P14_WB12" "766" "1325" "1325_jun16" "4" "F" "9" 45.7945972 -89.56414379 4 0 1 0 0 0 3 0 0 0 0 0 16 0 0 0 0 0 0 "2016" "jun16" 2016-06-13 "M" "6/13/2012" 3.4 16.2 123.91 207.5 0.33 16.76 5.27 NA NA "1" 69 "0" "0"
"UME_303602_P12_WB04" "429" "1234" "1234_jun16" "4" "C" "2" 45.69763854 -89.56414379 3 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 "2016" "jun16" 2016-06-13 NA "6/2/2011" 11.4 13.94 146.45 229.5 0.5 4.23 0.86 NA NA "1" 69 "0" "0"
"UME_303602_P14_WB09" "763" "1381" "1381_jun16" "4" "H" "9" 45.88533662 -89.56414379 3 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "2016" "jun16" 2016-06-13 NA "7/1/2012" 4.7 13.12 127.22 207.5 0.25 15.63 4.47 NA NA "1" 69 "0" "0"
"UME_303602_P09_WC10" "47" "1245" "1245_jun16" "4" "C" "13" 43.54016583 -89.56943894 7 1 5 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 "2016" "jun16" 2016-06-13 "M" "9/9/2010" 12.3 14.91 140.41 250.5 0.42 10.56 10.08 NA NA "1" 69 "0" "0"
